user,timestamp,commentText,vegan_y/n,likes,hasReplies,replies.commentText
Christopher Gonzalez,1556757258538,i met a vegan once. her reason for not eating meat: she didnt like the taste. she wasnt annoying like blonde girl and braid guy over here,0,0,FALSE,
LilPhilipLim,1556750058540,Vegans are just modern day hippies,1,0,FALSE,
Matthew Haddadin,1556750059165,as soon as the girl opened her mouth I hated her more,0,0,FALSE,
Matthew Haddadin,1556750059167,its funny how before it starts you can tell who the vegans are,0,0,FALSE,
Art by Elza,1556746459168,"Honestly, going vegan is more expensive depending on the country, I mean, here in latvia a packet of 4 vegan sausages is 3 euros (around 5 dollars) and they aren't even that big.... and vegan milk is around double than normal milk.",1,0,FALSE,
Line Bäckman Emne,1556742859170,"If she is vegan, then why does she have a dead skunk as hairstyle?",0,2,FALSE,
Clara Sablak,1556742859172,"Can people down here like, chill out?  I get that a lot of you are annoyed at some (or, more accurately one) of the people in this video, but take a step back.  We are all human beings with experiences, beliefs, and feelings.  Sure, the woman was high-energy and adamant, but put yourself in her shoes.  It's a beautiful thing to believe in something so deeply.  We just need to be considerate when it comes to people being more outspoken or unorthodox than we're comfortable with.",1,2,FALSE,
Sadi,1556735659173,"Why do vegans in the video look sooo







Different?",0,0,FALSE,
LaVosha Kern,1556728459175,I don't have anything against veganism but...vegans are SO annoying!,0,0,FALSE,
Jonston Smith,1556728459177,"Why does she talk with her neck, ick",0,0,FALSE,
Ruby Whitfield,1556728459178,You literally got the most vegan vegans.,1,0,FALSE,
I smell Celery,1556728459180,"Her mum was eating buckets of ice cream when she passed. Yes that is bad but, meat isn't necessarily that bad. If his grandfather died because he wasn't eating healthy food, meat is not the sole cause of that. Both of those arguments say nothing about the topic.",0,0,FALSE,
Aiden Chan,1556728459182,that girl,0,0,FALSE,
Ryan Wiedenman,1556728459195,"This is why I can’t take veganism seriously. (I know, most vegans aren’t like this but Jesus)",1,0,FALSE,
Kimi Rhaven Rose,1556728459196,I litrally came onto the comments to see if anyone was as annoyed with this girl as I was.,0,2,FALSE,
Sam Van Pelt,1556728459198,"i am a vegan and that girl really made me angry. i really could not care less about how other people eat meat and animal products. i’m vegan for myself only, and the difference that i alone can make. telling other people off for their choice of food is so dingy please just mind your business, and this goes both ways.",1,0,FALSE,
Mihali’s B,1556728459200,"And he said to them, “Then are you also without understanding? Do you not see that whatever goes into a person from outside cannot defile him, since it enters not his heart but his stomach, and is expelled?” (Thus he declared all foods clean.) And he said, “What comes out of a person is what defiles him. For from within, out of the heart of man, come evil thoughts, sexual immorality, theft, murder, adultery, coveting, wickedness, deceit, sensuality, envy, slander, pride, foolishness.",0,0,FALSE,
Ashish Entertainments (AE),1556728459201,"""What is a food chain..some guy made a diagram and put us humans in the top."" The food chain is not a diagram, it is nature. Some guy explained how nature is in a diagram.",0,0,FALSE,
Farmer2492,1556728459203,you only have to look at the ugly feral woman she is a vegan but has a bull ring in her nose go figure,0,0,FALSE,
Marvin Stark,1556728459205,Why they have to dress like that man!,0,0,FALSE,
Summer Levig,1556728459207,I love that you can tell exactly who is vegan in this video by the way their dressed lmao like ok emo hippie chick,0,0,FALSE,
ferphoto93,1556728459208,Please put normal vegans... I don't know... Put Leonardo DiCaprio explaining why being vegan helps the environment.,1,0,FALSE,
mari hernandez,1556728460093,Why did they pick the most vegan looking stereotypes 😂,0,0,FALSE,
ALISSA Boucher,1556728460095,I just like food....😂😂😂,0,0,FALSE,
Calypso Artworks,1556728460097,"Why do have most vegan these bangs or a pixy cut ??,",0,0,FALSE,
Ana Maria Soares,1556728460098,Former vegan is so annoying tho,1,0,FALSE,
Ana Maria Soares,1556728460100,I'm vegan and the vegan girl just pisses me off,0,0,FALSE,
Om Um,1556642060102,6:46 lol i think someone farted! xD (use headphones),0,0,FALSE,
Deepro Banerjee,1556642060104,"1:50 ""I don't even see , like what is a food chain ?"" ..... Yeah that's basic Environmental Science . This guy's grade on that subject in school must've been nuts ! XD",0,0,FALSE,
Nail Rifqillah,1556642060105,"Plants are also Living beings ,So what's the difference ???",0,3,FALSE,
Dalia Baby,1556642060107,I'm not even half way through I literally hate that female.. ew!,0,0,FALSE,
melisa 182,1556642060109,2 seconds in and yall cant deny that you already know who's vegan and whose not,0,0,FALSE,
Bey Hive,1556642060111,I’m vegan and I can say for sure that I’ve never met a vegan as rude as that woman!,1,0,FALSE,
Charlie Franzmeier,1556642060112,6:51 OMG WHO IS THIS CHICK,0,0,FALSE,
Idk :D,1556642060114,"those who think humans and animals (not talking about like long-time pets) are equal,,,, please no",0,0,FALSE,
The Hunt Rock Band,1556642060116,9:42 well said 👏👏👏,1,0,FALSE,
Tia Duncan,1556642060117,I already don't want to live so why would I eat vegan to live longer?,0,0,FALSE,
Leah J.,1556642060119,"I'm Vegan™ and I don't approve this message

Vote Vegan™ 2020",1,0,FALSE,
Jesse03,1556642060121,"Its not some conspiracy their isn’t healthy food in the hood, companies wont turn down money no matter who it comes from, if there is opportunity companies will set up businesses clearly their isn’t.",0,0,FALSE,
Kelly Porter,1556642060133,HOW DO YOU LEAVE THE HOUSE LOOKING LIKE THAT OBNOXIOUS GIRL,0,0,FALSE,
Elise,1556642060135,"a snake tryna attack you
vegans:",0,0,FALSE,
Mitchell Allen,1556555660136,spot the vegans,0,0,FALSE,
Eye Wood Like Two Dye,1556555660753,""" There is no food chain its something a guy made up and put in a graph with humans on top."" 

by that statement alone you can probably guess his intelligence.",0,10,FALSE,
Jessika Bunton,1556555660754,Why’d y’all get the most hippy most stereotypical vegans this is not the representation we need.,1,0,FALSE,
Rafael Vargas,1556555660756,They should do this again with different people I’d be interested in hearing more from both sides.,0,0,FALSE,
Liam,1556555660758,Ohmygod that girl thinks being vegan is the same same as being healthy. Ill tell you as a vagitarian i eat as much mcdonalds as anyone else.,0,0,FALSE,
Rhuth K,1556555660760,"Can you bring more mature and well-behaved vegan to this debate, please?",1,0,FALSE,
Bread Lover Camp,1556555660761,why they gotta pick the weird ass vegans? where are the people who got a vacation in 3 days and gotta lose 70 lbs?,0,1,FALSE,
TheArmyofHades,1556555660763,Why you shouldnt become vegan? Imagine starting to look like THAT and talk like the blone girl...i believe there is no further debate,0,0,FALSE,
PACHONGA9,1556555660765,"Even if homegirl made a 100% perfect infallible argument against eating meat, I would immediately go and buy a bucket of KFC chicken to crunch on, and as the juicy grease ran down my chin, I would spend all of my savings buying stock shares in meat processing companies around the country. Why? Because she is an incredibly annoying person that I would go out of my way to piss off. 

And that is a fact.",0,12,FALSE,
Papiow,1556555660767,Im a meat eater but love that hipster dude,0,0,FALSE,
Olivia H Caballero,1556555660769,Being vegan doesnt directly mean you have less environmental impact than a non vegan.,0,0,FALSE,
HeartFastenedShut,1556555660770,Every normal vegan was like this is why we can't have nice things LMFAO 😂😂😂😂😂😂 this was super entertaining and super irritating at the same time.,1,0,FALSE,
Robert Dougherty,1556555660772,Half of these people are higher than a kite and the others are meat eaters,,1,FALSE,
corn Sauce,1556555660774,I love how if they had the two groups without the labels I’d know exactly which group is vegan,0,0,FALSE,
FedEx PizzaMan,1556555660776,peta has liked your video,0,0,FALSE,
Emi Ri,1556555660778,4:41-4:43’s face — Saaaaaame,0,0,FALSE,
Emi Ri,1556555660779,I don’t support vegans. They’re eating my foods food.,0,0,FALSE,
CL N,1556555660782,"“I love food”


Ever met someone who doesn’t love food?...",0,0,FALSE,
oh hai mark,1556555660784,"""it's not in a jungle in africa"" CRINGE",0,0,FALSE,
Doggo Lover,1556555660786,"I like that it brings people together and beaks stereotypes. Some people in these videos are walking stereotypes, but a lot of them have more to them that just one thing.",1,0,FALSE,
Mariehzy,1556555660787,"The thing with vegans is a lot of them think you're a demon because of a life choice even if the person is genuinely good. It would be different if we were talking about being transgender, because that too, is a life choice. People shouldn't be forcing their opinions on other people, bad things happen when that's the case.",0,2,FALSE,
Dorian Preister,1556555661306,This is the type of girl we need thanos to snap away,0,0,FALSE,
Girl of Many Vloggities,1556555661309,"They’re literally acting like we’re freakin cannibals! Like, it’s not that serious.",0,0,FALSE,
Girl of Many Vloggities,1556555661310,That girl seems like the pushy type that constantly mentions being vegan when the topic wasn’t even brought up in conversation.,0,2,FALSE,
T M,1556555661312,What is vegan?,0,0,FALSE,
Audra Hofacker,1556555661314,"Why they gotta pick the most stereotypical looking vegans... we're not all hippies. And all they really talked about were the animal rights, not the health benefits or the environmentalllllllll reasons ugh",1,1,FALSE,
Lastlies,1556555661316,"omfg. that one meat eater's passive aggressiveness killed me.
""I think human life is more valuble, but maybe you value fish at the same level as human beings."" like omg, stfu and actually have a conversation. -a meat eater",0,0,FALSE,
xSaRaHx790,1556555661317,Watching this while eating chicken wings.  LOL    🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,0,0,FALSE,
Freyja Sarasvati,1556555661319,I want to donate that girl to a starving animal,0,0,FALSE,
Coyote King,1556555661321,Once again meat eaters win,0,0,FALSE,
Coyote King,1556555661322,The vegans logic is so bad,0,0,FALSE,
Amy Smith,1556555661324,Okay but I could feel who the vegans were before they moved. How cliche smh,0,0,FALSE,
mo nowa,1556555661326,Random thought but that’s why I eat halal meat they butcher meat in the most humane way possible but I see why vegans wouldn’t want to eat meat.,0,0,FALSE,
Klevis Guri,1556555661328,all the meat eaters looked normal while the vegans have some ridiculous clothes,1,0,FALSE,
Marissa Agun,1556469261329,Why do we have to put our dogs down when they bite people tho?,0,0,FALSE,
Adrienne Leslie,1556469261331,The red shirt black dude and the bandana white dude are not being honest sometimes.,0,0,FALSE,
5567 5555,1556469261333,8:44 The look that guy is giving to the woman is my face everytime I hear her speak.,0,0,FALSE,
Sehand Alidosti,1556469261334,"me: clicks on video and sees girl
also me: no",0,0,FALSE,
Sehand Alidosti,1556469261336,that girl says we put fear and death in our bodies but the vegans put stupidity in their heads,0,0,FALSE,
Amy-Lee Skyy,1556469261338,"Even animals eat meat. I don’t understand vegans, but I don’t judge them🤷🏼‍♀️",0,0,FALSE,
Shadman Islam,1556469261339,"I can identify vegans just by their choice of fashion, lol 🤣",0,0,FALSE,
cCcCc CaptainClam,1556469261900,"I'm vegan...
Did I mention I'm vegan?
Well I have cheat year evry year for a year so...
?nagev m'I niotnem I diD",0,0,FALSE,
Theogrn,1556469261902,Imagine hiking with your best friend and then a mountain lion comes at yall and attacks your friend and you just tell your friend that its that things right to attack,0,0,FALSE,
Theogrn,1556469261903,I mean i could point out the vegans pretty easily,0,0,FALSE,
Bailey Mingus,1556469261905,Ok I'm vegan but the blonde girl is just TOO MUCH,1,10,FALSE,
Retro Teen,1556469261907,The vegan girl is the most obnoxious vegan i’ve ever seen. Just respect that everyone has different diets and preferences,0,0,FALSE,
firered6789,1556469261908,Hunters vs peta supporters,0,0,FALSE,
Giomarie M. Pérez-Agostini,1556469261910,"I’m interested to see how vegans discuss the same questions with persons that actually work in the meat and farming industry... 
Because we see so different things and do different choices and they never understand our things",0,0,FALSE,
miss lotus,1556469261912,The vegans were so hypocritical...saying the meat eaters’ opinion on killing an animal would never happen in a day to day context and it’s too extreme and then offering an example of raising an animal in the wild... huh??,0,1,FALSE,
dogusinator,1556382861913,Vegans are pussies,0,1,FALSE,
n0ztic,1556382861915,"I'm a vegan and I hate that vegan girl. It's sad that she's representing us. 

And also, Jubilee, why did you recruit the most hippie looking people for the vegan side?
I don't think it's really good to perpetuate the stereotype if you want to find middle ground to be honest.",1,2,FALSE,
Potato head,1556382861917,Meat eaters have more patients than vegans. Thats what I learned from this video.,0,1,FALSE,
R Rae,1556382861918,That girl has them crazy eyes 👀,0,0,FALSE,
jellyfishyies,1556382861932,the blonde girl is most stereotypical vegan i've ever seen,0,0,FALSE,
JPC Daily,1556382861934,You can tell exactly who the vegans were right from the beginning,0,0,FALSE,
Kertu Ernits,1556382861935,Vegans can be junkies too wtf,0,0,FALSE,
Adelene B,1556382861937,Aubrey's annoying me,0,0,FALSE,
Sierra S,1556382861939,omg I think I lost brain cells listening to some of the vegans arguments lmao,0,0,FALSE,
LAURA MARIA MOTTA RODRIGUEZ,1556382861941,"WhAT iS a FOoD cHaIN? 
I thought people learned that in 5th grade or something",0,0,FALSE,
Ophelia,1556382861943,Wish the vegans were better representations of what a vegan is.,1,0,FALSE,
maria raya,1556382861945,tbh the vegan girl just has a bright personality so she talked more than everyone else cause she's passionate about it and i think it's so good to be passionate for a good cause,1,0,FALSE,
Me'Sa Dyani,1556382862582,My answer to the first question is anyone can get eaten!! If I was out in the wilderness in say Africa somewhere I'm most definitely not the top of the food chain cause those animals could easily eat little ol me 😂😂,0,1,FALSE,
Zaina .taehyung,1556382862584,I'm sorry but why are the vegans looking like they're homeless,0,0,FALSE,
edgar torres,1556382862586,if you a vegan does that mean you can't beat your meat? lol,0,0,FALSE,
ELLIOTT COOK YT,1556382862588,The guy with the braids makes my brain hurt,0,0,FALSE,
Breathing Debris,1556382862589,"The fact that i can be right 100% when spotting a vegan just by their looks, just showcases how much of a meme most of them are",0,0,FALSE,
Nathan Miller,1556382862602,Did anyone else notice the one guy tried to say that food chains don't exist? Because that's hilarious,0,0,FALSE,
Cj,1556296462604,"5:34 I get his dumbass point, but he needs to understand that the animal doesn't hold him to that value, the animal see's anybody as food, and literally forgets he even exists in 3 seconds.",0,0,FALSE,
george khalil,1556296462606,?! Capitalism is why she has food lol. Yay let’s go to Russia try being vegan there,0,0,FALSE,
Greek Freak,1556296462607,"The discussion about a healthy diet is so wrong in so many ways 
1st ) define a healthy diet , what I mean eating twice a week and mb more meat is quite healthy (steak , fish etc.)
2nd) what the fck capitalism has to do with cost ( so many genetically modified foods have been banned from Greenpeace for no reason at all )
3rd ) yeah it’s not expensive paying 20€ for half a meal at a vegan restaurant 
And so many more",0,0,FALSE,
Jessie Reyes,1556296462609,Vegans proving that their stereotypes are true. I can’t 🤦🏻‍♀️,0,0,FALSE,
Jordyn Halper,1556296462611,I love the guy in the bandana,0,0,FALSE,
namepi,1556296462613,Vegans are so passionate and strongly opinionated on meat so I wonder what they think about drug attics and poverty?,0,0,FALSE,
namepi,1556296462614,Can vegans be friends with meat eaters?,0,0,FALSE,
Doktor Kranium,1556296462616,"the only reason i see to stop eating meat is the chemicals and antibiotics pumped into them
we are born omnivore for a reason ....consuming small amounts of meat for protein instead of a truckload of veggies

it's not ""genocide"" or ""murder""
murder is man killing man
genocide is man killing many many men
animals have nothing to do with these words ...so vegans please keep out because it's just cringe


what separates us from animals is intelligence 
we are above them all...
you don't seagull=human unless you are braindamaged ...probably from lacking a few proteins here and there",0,0,FALSE,
Kari Kristine Haugberg,1556296462618,I feel there's a lack of conscious omnivores in this panel - these people are getting railroaded by passionate vegan chick. Where are the people who consciously eat meat because of health? The discussion flopped for me.,0,0,FALSE,
Liberty Larpenter,1556296462620,"What I wanna know is, why do some vegans like these people talk aggressively and kind of rude. If I was there I’d be like, “ I eat meat you don’t, we all have preferences” done",0,0,FALSE,
Temo Machitidze,1556296462621,"24 years Vegetarian and 13 years Vegan?
WAIT WHAT? how old r u???",0,0,TRUE,
Jodl,1556296462623,You can see the clear difference,0,0,FALSE,
Sean Flaherty,1556296462625,Lol that vegan girl was so creepy how she seemed happy her mom died at 49. You just can look into her eyes when she talks about it and she's like soulless.,0,11,FALSE,
Leda Elliott,1556296462627,why couldn't they get a chill vegan,1,0,FALSE,
Symon Anareta,1556296463499,"""Rightists vs Leftists/Socialists"" PLEASE MAKE THIS HAPPEN",0,0,FALSE,
ChaoticDucky,1556296463501,That girl is probably one of those people trying to make America a socialist country.,0,5,FALSE,
Chicken Nugget,1556296463503,Eating vegan is actually more expensive it’s not 100x more expensive but they’re not the same price. Also lentils are not 99¢ okay hunny,1,0,FALSE,
"Hey, It's Hazel!",1556296463504,Lemme tell you that blonde girl LOOKED vegan,0,15,FALSE,
Pingasatchi,1556296463506,"“What even is a food chain?” 

Seriously?",0,0,FALSE,
Phantomsito,1556296463508,"Humans are evolutioning and on the contrary, vegans are going backwards lol",0,0,FALSE,
Iber Alex,1556296463510,That girl is the reason people hate vegans smh 🤦‍♂️,0,0,FALSE,
Zaxio11,1556296463511,these videos make me realize that I hate people,0,0,FALSE,
Paul Meany,1556296463513,4:06 sums up a vegan,0,0,FALSE,
Uxue Chung,1556296463515,Lmao I liked the vegans except the girl. She’s so annoying. My dads vegan and thank the lord that he’s not like her,0,0,FALSE,
Scourge Star,1556296463517,Why did you chose these vegans? Why not @EarthlingEd ?,1,0,FALSE,
Tigera15,1556296463518,“ThE pRoBlEm Is CaPiTaLiSm”,0,1,FALSE,
firinneach,1556296463520,She's just unbearable...,0,0,FALSE,
Lynn van Beersum,1556296463522,"Question: it should not be more expensive to eat healthy
Girl in glasses: IT IS NOT MORE EXPENSIVE TO EAT VEGAN
... ‘vegan’ does not necessarily equal ‘healthy’, calm yourself 😑",0,12,FALSE,
ItsImpulsive,1556296463523,"8:23 it's not a competition hunny, interrupting what he is saying, it's not always about you.",0,4,FALSE,
Thomas,1556296463525,And once again vegans show us they're the less tolerant people and they can't be anything else than hysterical ... Worst people i've seen in your videos so far ...,0,0,FALSE,
flip0052,1556296463527,pigtail girl is way out there,0,0,FALSE,
Max Powers,1556296463528,Vegans are fkn crazy lol sick in the head like pedos,0,1,FALSE,
Caley Blythe,1556296463530,"The comment about liquor/health stores being more prevalent in certain areas compared to others being a plan to ""bring the vibrations down"" is ludicrous. It is all about supply and demand. Companies put their stores where the market is. It's as simple as that.",0,0,FALSE,
Jerryja 04,1556296463532,"That woman is minimum 37 years old , probably closer to 45",0,1,FALSE,
Woahhhmrman,1556296464356,Anyone else just saw the people and could pick out the vegans before they even got into groups? Hahaha,0,0,FALSE,
Destiny Vogt,1556210064369,It was not hard to figure out who was vegan and who wasn’t.......,0,0,FALSE,
BeautyBren28,1556210064370,"Not sure if it's already been done, but do all vegans/vegetarians(one or the other) think the same",0,0,FALSE,
hilla_ akbr,1556210064372,i kinda hate that woman she’s hella rude,0,0,FALSE,
Lurdie Chitari,1556210064374,"Being a vegan shouldn't be about health, because health is about moderation, not cutting stuff completely out.

Being vegan should be a moral stance, I'm not vegan but I understand their stance

Yet as a human I feel like I was make for both styles of diet, carnivore and herbivore, just like bears, pigs, etc...",0,0,FALSE,
Sam Giguere Mahelona,1556210064375,You can immediately tell who the vegans are,0,0,FALSE,
TenebrisHG,1556210064377,This video makes me want to eat meat,0,0,FALSE,
shady dude,1556210064379,"If you want to be vegan or vegetarian for the benefits but also love meat and dairy you can just be flexitarian, it doesn't have to be one or the other.",0,0,FALSE,
marshelleey,1556210064380,OMG I just cannot stand the vegan girl... Too much unnecessary aggression. And the facial expression I can't stand too.,0,27,FALSE,
farsatacklare89 2,1556210064382,You could emideietly see Who was and wasn't vegan,0,0,FALSE,
Dam Big Foot,1556210064384,"I don't know why Vegans take on different causes like homosexuality, feminism, pacifism, and anarchism. Its like Vegans are more than just a dietary lifestyle, almost its own religion. To me it seems that meat eating is more sustainable and healthier for society, not because of the diet but because of the non dietary views of the Vegans.",0,0,FALSE,
Malene,1556210064385,The vegan stereotype in this video. Love it. Have fun making your own deodorant xx,0,0,FALSE,
Raquel Asencio,1556210064387,Omg. I’m vegan and I’m always so annoyed when I hear other vegans be stereotypically preachy.,1,0,FALSE,
Gabrielle Garthe,1556210064389,Ok but the vegans look like vegans 😅 stereotypically sorry,0,0,FALSE,
You know what I mean...,1556210064390,"Why is there so much hate on this comment section???? why does everyone has a problem or feel offended by that girl??? she never insulted anyone, she just voiced her arguments for being vegan and no one there was having a fight. And what's the problem with them dressing the way they want to??? I know a lot of people who dress like that and they for sure are not vegans, guess you just have to surround yourself with more people. The amount of hate on the comments is immense and it's so sad that it's coming from meat eaters AND vegans. I guess everyone is just programmed to automatically hate people who look different to you, eat different to you, and think different to you... it's just so sad",1,0,FALSE,
Kat Primm,1556210064392,"I'm not a vegan or vegetarian or anything but I feel like the girl completely misrepresented the vegan lifestyle. She's the stereotype that people meme about. She kept putting in her opinion into someone else's point which hurt their point. Like I understand and respect the vegan movement, and wish I had the control to try it, but God is that girl the worst. I feel like she's the reasons vegans don't share their vegan lol",0,0,FALSE,
A B,1556210064393,smh None of these people know what a food chain actually is. Don't any of you remember 7th grade biology?,0,1,FALSE,
hi there,1556210064395,I knew who the vegans were before they even separated into groups,0,1,FALSE,
Antonio Mcbride,1556210064397,I hate biased Vegans,0,0,FALSE,
Rajeev Menon,1556210064398,Why do vegans look like hippies,0,1,FALSE,
Cassandra Bergantim,1556210064992,"""ThE iSsUe Is CaPiTaLiSm""

Sis. Stop it. Get some help.",0,4,FALSE,
Die Potato,1556210064994,They got that one dude lookin like Mr. Sandman,0,0,FALSE,
Pavel Sushko,1556210064996,Оставайся мальчик с нами,0,0,FALSE,
c h l y,1556210064999,That girl is a psychopath😲😵,0,0,FALSE,
Old_Time_Fun_With_Disney,1556210065004,I was immediately was able to tell apart the vegans and the omnivores from the start,0,0,FALSE,
VigiLantTig3r 14,1556210065006,I love how I could tell who was vegan before they said who was vegan,0,1,TRUE,
Kelsey S,1556210065009,Everyone’s being negative about the vegan girl and ignoring how beautiful of a human being the vegan bandana guy was,1,8,TRUE,
omar khan,1556210065011,What is like a Food chain. Go live in a Forest or the mountains and you will be a part of it.,0,0,FALSE,
yazisAlright,1556210065014,can y’all make another one of these but with normal vegans please,1,256,TRUE,
yazisAlright,1556210065017,"please don’t think that all vegans are like this, we’re usually pretty normal i promise",1,1,TRUE,
sarrah fox,1556210065019,"I think they should have invited joey ""from FRIENDS"" to answer you vegan people 😒",0,0,FALSE,
Alex Pills,1556210065021,I would die if I couldnt eat meat,0,0,FALSE,
HardRanger,1556210065024,I don't care that you vegan.....,0,0,FALSE,
William Chen,1556210065026,3:42 dat vegan girl,0,0,FALSE,
Apel Pie,1556210065029,"I think choosing to not eat meat because you don't wanna hurt animals is a reasonable thing to do, but not killing an animal if you can save a human is straight up murder",0,0,FALSE,
Messy Girl,1556210065031,i love fried chicken 😆,0,0,FALSE,
Jessica Bowmam,1556210065033,I wanna RIP that vegans chick nose ring out.,0,0,TRUE,
Kursor,1556210065035,This is going to be a hard episode...   (After the introduction I don't want to watch it anymore.....),1,0,FALSE,
NoAnimalLeftBehind,1556210065038,I hate how all the vegans look crazy cause they are not helping with the reputation,1,0,FALSE,
Giselle S,1556210065039,"I thought the girl was annoying but after I watched the part she talked about her mother's death, I thought she was just so hurt.
When people are hurt and angry and scared, they go desperate to avoid it from happening again. Veganism may be just a way for her to cope with her situation. I think she deserves compassion.",0,13,FALSE,
Marketa Velazquez,1556210066076,9:26 😂😂😂😂,0,0,FALSE,
jada prioleau,1556210066078,"Whole time I’m saying, “Will you stfu”",0,0,FALSE,
jam jam,1556210066079,The fact that someone values a FISH over a human life scares me.,0,0,FALSE,
ModerateGiant X,1556210066081,"I think all of us can literally guess every value the chick has. Vegan, pro choice, liberal, ""tolerant"" (hatefully), feminist. Not saying this is good or bad, but she's a walking stereotype.",0,0,FALSE,
ModerateGiant X,1556210066083,What?!?! That chick is a vegan?? Nooooooo..............,0,0,FALSE,
NameThought59,1556210066085,The vegans look like stoners,0,0,FALSE,
Drew Sarrazin,1556210066086,"ok but they really chose the most “hippy” vegans. i respect their opinions thoroughly, but i think they should have had at least one of those vegans have been someone who just eats vegan and doesn’t have such a strong opinion about the animals, but more about the health benefits of it.",1,0,FALSE,
Sarah Kern,1556210066088,That intro made me forcefully exhale,0,2,FALSE,
Flaming Fox,1556210066090,Did she just say the food chain is about love and doesn't exist?,0,0,FALSE,
Nicole Choe,1556210066091,"the blonde girl is so immature! shes worse than my sister, who is 11 and she thinks shes ""cool"" and ""depressed"" and being that being gay is ""cool"" and ""trendy""",0,0,FALSE,
aranza. gabz,1556210066093,"We were created carnivores, evolved as carnivores and we're dying carnivores.",0,1,FALSE,
Brianna Matthews,1556210066104,The girl reminds me of Allison from the breakfast club,0,0,FALSE,
Josiah Washington,1556210066106,Plant lives matter too!!!!,0,0,FALSE,
Maddison Jackson,1556210066108,That woman is making all vegans seem rude and stereotypical,1,0,FALSE,
nerderler thenerd,1556210066110,"you know how when someone says a word so many times that it begins to sound like nonsense...




VeGaN",0,2,FALSE,
dark southpaw,1556210066111,"ok let me just say that I DO NOT AGREE WITH THE BLONDE GIRL. However, while she probably doesn’t even understand what she’s saying, I do agree that money and capitalism have a huge role in food. Selling processed chicken and beef is a hell of a lot more profitable than selling lentils at a farmers market.",0,0,FALSE,
Just-A-Username,1556210066113,"Brooo this just changed my mind completely, imma go eat some grass, you guys want some?",0,1,FALSE,
bossimusprime,1556210066115,Thank god im not the only person who hates the blonde girl,0,0,FALSE,
Cam S,1556210066117,I love how all the vegans look like the stereotypical hippie,0,1,FALSE,
Lil' Gem Lettuce,1556210066118,I try not to eat too much meat but I couldn't become vegan/veggie for the simple reason of a turkey Christmas dinner. No Im not Christian. I mean I think I would probably try to count myself as flexitarian.,0,0,FALSE,
Charlie C.,1556210066675,Why did you not get a butcher?,0,0,FALSE,
Chris Mar,1556210066677,5:20 BROO.. WTF ARE YOU EVEN TALKING ABOUT,0,0,FALSE,
Hasan Abbas,1556210066678,I'm not vegan but they were misrepresented here.Those two white vegans were complete stereotype hippie retards,0,0,FALSE,
Galaxy Wolf,1556210066680,That girl was disrespectful and rude she did not respect peoples outlooks,0,1,FALSE,
T- DwarF,1556210066682,Gotta get some people with intelligence in these vids,0,2,FALSE,
Pandapanda64Ali MEMES,1556210066683,This lady makes me want to die,0,0,FALSE,
CULT68,1556210066685,vegan girl REPULSIVE ARROGANT OBNOXIOUS like Eco climate CRIM FELONS Ruining London & causing CHAOS,0,1,FALSE,
