,user,timestamp,comment,y_label,likes,hasReplies,replies.commentText
102,Theogrn,1556469261903,I mean i could point out the vegans pretty easily,0.0,0,False,
103,Bailey Mingus,1556469261905,Ok I'm vegan but the blonde girl is just TOO MUCH,1.0,10,False,
104,Retro Teen,1556469261907,The vegan girl is the most obnoxious vegan i’ve ever seen. Just respect that everyone has different diets and preferences,0.0,0,False,
105,firered6789,1556469261908,Hunters vs peta supporters,0.0,0,False,
106,Giomarie M. Pérez-Agostini,1556469261910,"I’m interested to see how vegans discuss the same questions with persons that actually work in the meat and farming industry... 
Because we see so different things and do different choices and they never understand our things",0.0,0,False,
107,miss lotus,1556469261912,The vegans were so hypocritical...saying the meat eaters’ opinion on killing an animal would never happen in a day to day context and it’s too extreme and then offering an example of raising an animal in the wild... huh??,0.0,1,False,
108,dogusinator,1556382861913,Vegans are pussies,0.0,1,False,
109,n0ztic,1556382861915,"I'm a vegan and I hate that vegan girl. It's sad that she's representing us. 

And also, Jubilee, why did you recruit the most hippie looking people for the vegan side?
I don't think it's really good to perpetuate the stereotype if you want to find middle ground to be honest.",1.0,2,False,
110,Potato head,1556382861917,Meat eaters have more patients than vegans. Thats what I learned from this video.,0.0,1,False,
111,R Rae,1556382861918,That girl has them crazy eyes 👀,0.0,0,False,
112,jellyfishyies,1556382861932,the blonde girl is most stereotypical vegan i've ever seen,0.0,0,False,
113,JPC Daily,1556382861934,You can tell exactly who the vegans were right from the beginning,0.0,0,False,
114,Kertu Ernits,1556382861935,Vegans can be junkies too wtf,0.0,0,False,
115,Adelene B,1556382861937,Aubrey's annoying me,0.0,0,False,
116,Sierra S,1556382861939,omg I think I lost brain cells listening to some of the vegans arguments lmao,0.0,0,False,
117,LAURA MARIA MOTTA RODRIGUEZ,1556382861941,"WhAT iS a FOoD cHaIN? 
I thought people learned that in 5th grade or something",0.0,0,False,
118,Ophelia,1556382861943,Wish the vegans were better representations of what a vegan is.,1.0,0,False,
119,maria raya,1556382861945,tbh the vegan girl just has a bright personality so she talked more than everyone else cause she's passionate about it and i think it's so good to be passionate for a good cause,1.0,0,False,
120,Me'Sa Dyani,1556382862582,My answer to the first question is anyone can get eaten!! If I was out in the wilderness in say Africa somewhere I'm most definitely not the top of the food chain cause those animals could easily eat little ol me 😂😂,0.0,1,False,
121,Zaina .taehyung,1556382862584,I'm sorry but why are the vegans looking like they're homeless,0.0,0,False,
122,edgar torres,1556382862586,if you a vegan does that mean you can't beat your meat? lol,0.0,0,False,
123,ELLIOTT COOK YT,1556382862588,The guy with the braids makes my brain hurt,0.0,0,False,
124,Breathing Debris,1556382862589,"The fact that i can be right 100% when spotting a vegan just by their looks, just showcases how much of a meme most of them are",0.0,0,False,
125,Nathan Miller,1556382862602,Did anyone else notice the one guy tried to say that food chains don't exist? Because that's hilarious,0.0,0,False,
126,Cj,1556296462604,"5:34 I get his dumbass point, but he needs to understand that the animal doesn't hold him to that value, the animal see's anybody as food, and literally forgets he even exists in 3 seconds.",0.0,0,False,
127,george khalil,1556296462606,?! Capitalism is why she has food lol. Yay let’s go to Russia try being vegan there,0.0,0,False,
128,Greek Freak,1556296462607,"The discussion about a healthy diet is so wrong in so many ways 
1st ) define a healthy diet , what I mean eating twice a week and mb more meat is quite healthy (steak , fish etc.)
2nd) what the fck capitalism has to do with cost ( so many genetically modified foods have been banned from Greenpeace for no reason at all )
3rd ) yeah it’s not expensive paying 20€ for half a meal at a vegan restaurant 
And so many more",0.0,0,False,
129,Jessie Reyes,1556296462609,Vegans proving that their stereotypes are true. I can’t 🤦🏻‍♀️,0.0,0,False,
130,Jordyn Halper,1556296462611,I love the guy in the bandana,0.0,0,False,
131,namepi,1556296462613,Vegans are so passionate and strongly opinionated on meat so I wonder what they think about drug attics and poverty?,0.0,0,False,
132,namepi,1556296462614,Can vegans be friends with meat eaters?,0.0,0,False,
133,Doktor Kranium,1556296462616,"the only reason i see to stop eating meat is the chemicals and antibiotics pumped into them
we are born omnivore for a reason ....consuming small amounts of meat for protein instead of a truckload of veggies

it's not ""genocide"" or ""murder""
murder is man killing man
genocide is man killing many many men
animals have nothing to do with these words ...so vegans please keep out because it's just cringe


what separates us from animals is intelligence 
we are above them all...
you don't seagull=human unless you are braindamaged ...probably from lacking a few proteins here and there",0.0,0,False,
134,Kari Kristine Haugberg,1556296462618,I feel there's a lack of conscious omnivores in this panel - these people are getting railroaded by passionate vegan chick. Where are the people who consciously eat meat because of health? The discussion flopped for me.,0.0,0,False,
135,Liberty Larpenter,1556296462620,"What I wanna know is, why do some vegans like these people talk aggressively and kind of rude. If I was there I’d be like, “ I eat meat you don’t, we all have preferences” done",0.0,0,False,
136,Temo Machitidze,1556296462621,"24 years Vegetarian and 13 years Vegan?
WAIT WHAT? how old r u???",0.0,0,True,
137,Jodl,1556296462623,You can see the clear difference,0.0,0,False,
138,Sean Flaherty,1556296462625,Lol that vegan girl was so creepy how she seemed happy her mom died at 49. You just can look into her eyes when she talks about it and she's like soulless.,0.0,11,False,
139,Leda Elliott,1556296462627,why couldn't they get a chill vegan,1.0,0,False,
140,Symon Anareta,1556296463499,"""Rightists vs Leftists/Socialists"" PLEASE MAKE THIS HAPPEN",0.0,0,False,
141,ChaoticDucky,1556296463501,That girl is probably one of those people trying to make America a socialist country.,0.0,5,False,
142,Chicken Nugget,1556296463503,Eating vegan is actually more expensive it’s not 100x more expensive but they’re not the same price. Also lentils are not 99¢ okay hunny,1.0,0,False,
143,"Hey, It's Hazel!",1556296463504,Lemme tell you that blonde girl LOOKED vegan,0.0,15,False,
144,Pingasatchi,1556296463506,"“What even is a food chain?” 

Seriously?",0.0,0,False,
145,Phantomsito,1556296463508,"Humans are evolutioning and on the contrary, vegans are going backwards lol",0.0,0,False,
146,Iber Alex,1556296463510,That girl is the reason people hate vegans smh 🤦‍♂️,0.0,0,False,
147,Zaxio11,1556296463511,these videos make me realize that I hate people,0.0,0,False,
148,Paul Meany,1556296463513,4:06 sums up a vegan,0.0,0,False,
149,Uxue Chung,1556296463515,Lmao I liked the vegans except the girl. She’s so annoying. My dads vegan and thank the lord that he’s not like her,0.0,0,False,
150,Scourge Star,1556296463517,Why did you chose these vegans? Why not @EarthlingEd ?,1.0,0,False,
151,Tigera15,1556296463518,“ThE pRoBlEm Is CaPiTaLiSm”,0.0,1,False,
152,firinneach,1556296463520,She's just unbearable...,0.0,0,False,
153,Lynn van Beersum,1556296463522,"Question: it should not be more expensive to eat healthy
Girl in glasses: IT IS NOT MORE EXPENSIVE TO EAT VEGAN
... ‘vegan’ does not necessarily equal ‘healthy’, calm yourself 😑",0.0,12,False,
154,ItsImpulsive,1556296463523,"8:23 it's not a competition hunny, interrupting what he is saying, it's not always about you.",0.0,4,False,
155,Thomas,1556296463525,And once again vegans show us they're the less tolerant people and they can't be anything else than hysterical ... Worst people i've seen in your videos so far ...,0.0,0,False,
156,flip0052,1556296463527,pigtail girl is way out there,0.0,0,False,
157,Max Powers,1556296463528,Vegans are fkn crazy lol sick in the head like pedos,0.0,1,False,
158,Caley Blythe,1556296463530,"The comment about liquor/health stores being more prevalent in certain areas compared to others being a plan to ""bring the vibrations down"" is ludicrous. It is all about supply and demand. Companies put their stores where the market is. It's as simple as that.",0.0,0,False,
159,Jerryja 04,1556296463532,"That woman is minimum 37 years old , probably closer to 45",0.0,1,False,
160,Woahhhmrman,1556296464356,Anyone else just saw the people and could pick out the vegans before they even got into groups? Hahaha,0.0,0,False,
161,Destiny Vogt,1556210064369,It was not hard to figure out who was vegan and who wasn’t.......,0.0,0,False,
162,BeautyBren28,1556210064370,"Not sure if it's already been done, but do all vegans/vegetarians(one or the other) think the same",0.0,0,False,
163,hilla_ akbr,1556210064372,i kinda hate that woman she’s hella rude,0.0,0,False,
164,Lurdie Chitari,1556210064374,"Being a vegan shouldn't be about health, because health is about moderation, not cutting stuff completely out.

Being vegan should be a moral stance, I'm not vegan but I understand their stance

Yet as a human I feel like I was make for both styles of diet, carnivore and herbivore, just like bears, pigs, etc...",0.0,0,False,
165,Sam Giguere Mahelona,1556210064375,You can immediately tell who the vegans are,0.0,0,False,
166,TenebrisHG,1556210064377,This video makes me want to eat meat,0.0,0,False,
167,shady dude,1556210064379,"If you want to be vegan or vegetarian for the benefits but also love meat and dairy you can just be flexitarian, it doesn't have to be one or the other.",0.0,0,False,
168,marshelleey,1556210064380,OMG I just cannot stand the vegan girl... Too much unnecessary aggression. And the facial expression I can't stand too.,0.0,27,False,
169,farsatacklare89 2,1556210064382,You could emideietly see Who was and wasn't vegan,0.0,0,False,
170,Dam Big Foot,1556210064384,"I don't know why Vegans take on different causes like homosexuality, feminism, pacifism, and anarchism. Its like Vegans are more than just a dietary lifestyle, almost its own religion. To me it seems that meat eating is more sustainable and healthier for society, not because of the diet but because of the non dietary views of the Vegans.",0.0,0,False,
171,Malene,1556210064385,The vegan stereotype in this video. Love it. Have fun making your own deodorant xx,0.0,0,False,
172,Raquel Asencio,1556210064387,Omg. I’m vegan and I’m always so annoyed when I hear other vegans be stereotypically preachy.,1.0,0,False,
173,Gabrielle Garthe,1556210064389,Ok but the vegans look like vegans 😅 stereotypically sorry,0.0,0,False,
174,You know what I mean...,1556210064390,"Why is there so much hate on this comment section???? why does everyone has a problem or feel offended by that girl??? she never insulted anyone, she just voiced her arguments for being vegan and no one there was having a fight. And what's the problem with them dressing the way they want to??? I know a lot of people who dress like that and they for sure are not vegans, guess you just have to surround yourself with more people. The amount of hate on the comments is immense and it's so sad that it's coming from meat eaters AND vegans. I guess everyone is just programmed to automatically hate people who look different to you, eat different to you, and think different to you... it's just so sad",1.0,0,False,
175,Kat Primm,1556210064392,"I'm not a vegan or vegetarian or anything but I feel like the girl completely misrepresented the vegan lifestyle. She's the stereotype that people meme about. She kept putting in her opinion into someone else's point which hurt their point. Like I understand and respect the vegan movement, and wish I had the control to try it, but God is that girl the worst. I feel like she's the reasons vegans don't share their vegan lol",0.0,0,False,
176,A B,1556210064393,smh None of these people know what a food chain actually is. Don't any of you remember 7th grade biology?,0.0,1,False,
177,hi there,1556210064395,I knew who the vegans were before they even separated into groups,0.0,1,False,
178,Antonio Mcbride,1556210064397,I hate biased Vegans,0.0,0,False,
179,Rajeev Menon,1556210064398,Why do vegans look like hippies,0.0,1,False,
180,Cassandra Bergantim,1556210064992,"""ThE iSsUe Is CaPiTaLiSm""

Sis. Stop it. Get some help.",0.0,4,False,
181,Die Potato,1556210064994,They got that one dude lookin like Mr. Sandman,0.0,0,False,
182,Pavel Sushko,1556210064996,Оставайся мальчик с нами,0.0,0,False,
183,c h l y,1556210064999,That girl is a psychopath😲😵,0.0,0,False,
184,Old_Time_Fun_With_Disney,1556210065004,I was immediately was able to tell apart the vegans and the omnivores from the start,0.0,0,False,
185,VigiLantTig3r 14,1556210065006,I love how I could tell who was vegan before they said who was vegan,0.0,1,True,
186,Kelsey S,1556210065009,Everyone’s being negative about the vegan girl and ignoring how beautiful of a human being the vegan bandana guy was,1.0,8,True,
187,omar khan,1556210065011,What is like a Food chain. Go live in a Forest or the mountains and you will be a part of it.,0.0,0,False,
188,yazisAlright,1556210065014,can y’all make another one of these but with normal vegans please,1.0,256,True,
189,yazisAlright,1556210065017,"please don’t think that all vegans are like this, we’re usually pretty normal i promise",1.0,1,True,
190,sarrah fox,1556210065019,"I think they should have invited joey ""from FRIENDS"" to answer you vegan people 😒",0.0,0,False,
191,Alex Pills,1556210065021,I would die if I couldnt eat meat,0.0,0,False,
192,HardRanger,1556210065024,I don't care that you vegan.....,0.0,0,False,
193,William Chen,1556210065026,3:42 dat vegan girl,0.0,0,False,
194,Apel Pie,1556210065029,"I think choosing to not eat meat because you don't wanna hurt animals is a reasonable thing to do, but not killing an animal if you can save a human is straight up murder",0.0,0,False,
195,Messy Girl,1556210065031,i love fried chicken 😆,0.0,0,False,
196,Jessica Bowmam,1556210065033,I wanna RIP that vegans chick nose ring out.,0.0,0,True,
197,Kursor,1556210065035,This is going to be a hard episode...   (After the introduction I don't want to watch it anymore.....),1.0,0,False,
198,NoAnimalLeftBehind,1556210065038,I hate how all the vegans look crazy cause they are not helping with the reputation,1.0,0,False,
199,Giselle S,1556210065039,"I thought the girl was annoying but after I watched the part she talked about her mother's death, I thought she was just so hurt.
When people are hurt and angry and scared, they go desperate to avoid it from happening again. Veganism may be just a way for her to cope with her situation. I think she deserves compassion.",0.0,13,False,
200,Marketa Velazquez,1556210066076,9:26 😂😂😂😂,0.0,0,False,
201,jada prioleau,1556210066078,"Whole time I’m saying, “Will you stfu”",0.0,0,False,
202,jam jam,1556210066079,The fact that someone values a FISH over a human life scares me.,0.0,0,False,
203,ModerateGiant X,1556210066081,"I think all of us can literally guess every value the chick has. Vegan, pro choice, liberal, ""tolerant"" (hatefully), feminist. Not saying this is good or bad, but she's a walking stereotype.",0.0,0,False,
204,ModerateGiant X,1556210066083,What?!?! That chick is a vegan?? Nooooooo..............,0.0,0,False,
205,NameThought59,1556210066085,The vegans look like stoners,0.0,0,False,
206,Drew Sarrazin,1556210066086,"ok but they really chose the most “hippy” vegans. i respect their opinions thoroughly, but i think they should have had at least one of those vegans have been someone who just eats vegan and doesn’t have such a strong opinion about the animals, but more about the health benefits of it.",1.0,0,False,
207,Sarah Kern,1556210066088,That intro made me forcefully exhale,0.0,2,False,
208,Flaming Fox,1556210066090,Did she just say the food chain is about love and doesn't exist?,0.0,0,False,
209,Nicole Choe,1556210066091,"the blonde girl is so immature! shes worse than my sister, who is 11 and she thinks shes ""cool"" and ""depressed"" and being that being gay is ""cool"" and ""trendy""",0.0,0,False,
210,aranza. gabz,1556210066093,"We were created carnivores, evolved as carnivores and we're dying carnivores.",0.0,1,False,
211,Brianna Matthews,1556210066104,The girl reminds me of Allison from the breakfast club,0.0,0,False,
212,Josiah Washington,1556210066106,Plant lives matter too!!!!,0.0,0,False,
213,Maddison Jackson,1556210066108,That woman is making all vegans seem rude and stereotypical,1.0,0,False,
214,nerderler thenerd,1556210066110,"you know how when someone says a word so many times that it begins to sound like nonsense...




VeGaN",0.0,2,False,
215,dark southpaw,1556210066111,"ok let me just say that I DO NOT AGREE WITH THE BLONDE GIRL. However, while she probably doesn’t even understand what she’s saying, I do agree that money and capitalism have a huge role in food. Selling processed chicken and beef is a hell of a lot more profitable than selling lentils at a farmers market.",0.0,0,False,
216,Just-A-Username,1556210066113,"Brooo this just changed my mind completely, imma go eat some grass, you guys want some?",0.0,1,False,
217,bossimusprime,1556210066115,Thank god im not the only person who hates the blonde girl,0.0,0,False,
218,Cam S,1556210066117,I love how all the vegans look like the stereotypical hippie,0.0,1,False,
219,Lil' Gem Lettuce,1556210066118,I try not to eat too much meat but I couldn't become vegan/veggie for the simple reason of a turkey Christmas dinner. No Im not Christian. I mean I think I would probably try to count myself as flexitarian.,0.0,0,False,
220,Charlie C.,1556210066675,Why did you not get a butcher?,0.0,0,False,
221,Chris Mar,1556210066677,5:20 BROO.. WTF ARE YOU EVEN TALKING ABOUT,0.0,0,False,
222,Hasan Abbas,1556210066678,I'm not vegan but they were misrepresented here.Those two white vegans were complete stereotype hippie retards,0.0,0,False,
223,Galaxy Wolf,1556210066680,That girl was disrespectful and rude she did not respect peoples outlooks,0.0,1,False,
